brand,slug,category,country,active_start,active_end,fate,summary,notable_products,wikipedia_url,last_updated,dataset_version
"AOL Instant Messenger","aim","Software/Internet","US","1997","2017","Discontinued","AIM instant messaging service shut down in 2017.","IM; Buddy list","https://en.wikipedia.org/wiki/AOL_Instant_Messenger","2025-10-12","20251012"
"American Apparel (original company)","american-apparel-original","Retail","US","1989","2017","Bankruptcy/brand sold","Original company went bankrupt; brand acquired and continues online.","Apparel; Retail stores","https://en.wikipedia.org/wiki/American_Apparel","2025-10-12","20251012"
"BlackBerry phones (legacy OS)","blackberry-os-phones","Mobile devices","CA","1999","2016","Discontinued","Legacy BlackBerry OS devices ended; brand licensed later on Android.","Bold; Curve; Torch","https://en.wikipedia.org/wiki/BlackBerry","2025-10-12","20251012"
"Blockbuster","blockbuster","Retail/Entertainment","US","1985","2014","Bankruptcy/closures","Video rental chain largely closed after bankruptcy; one store remains as novelty.","Video rental; Game rental","https://en.wikipedia.org/wiki/Blockbuster_LLC","2025-10-12","20251012"
"Borders","borders","Retail","US","1971","2011","Liquidation","Bookseller that filed for bankruptcy and closed in 2011.","Bookstores; Borders.com","https://en.wikipedia.org/wiki/Borders_Group","2025-10-12","20251012"
"Casual Corner","casual-corner","Retail","US","1950","2005","Liquidation","Women's apparel retail chain closed in 2005.","Women's apparel stores","https://en.wikipedia.org/wiki/Casual_Corner","2025-10-12","20251012"
"Circuit City","circuit-city","Retail","US","1949","2009","Liquidation","Electronics retailer that liquidated in 2009.","Retail stores; Firedog services","https://en.wikipedia.org/wiki/Circuit_City","2025-10-12","20251012"
"Compaq","compaq","Computers","US","1982","2002","Acquired","Acquired by HP in 2002; brand retired in many markets.","Presario; Armada; iPaq","https://en.wikipedia.org/wiki/Compaq","2025-10-12","20251012"
"Jet (retail)","jet-retail","E-commerce","US","2015","2020","Discontinued","Walmart-owned marketplace brand retired in 2020.","Online marketplace","https://en.wikipedia.org/wiki/Jet.com","2025-10-12","20251012"
"KB Toys","kb-toys","Retail","US","1922","2009","Liquidation","Toy retailer liquidated; brand later revived online intermittently.","Toy stores; Holiday catalogs","https://en.wikipedia.org/wiki/KB_Toys","2025-10-12","20251012"
"Kodak Theatre of Dreams (Kodak cameras note brand exists)","kodak-consumer-cameras","Consumer electronics","US","1888","2012","Bankruptcy/restructuring","Kodak filed for bankruptcy in 2012; many consumer lines discontinued; company restructured.","Point-and-shoot cameras; Film","https://en.wikipedia.org/wiki/Eastman_Kodak","2025-10-12","20251012"
"LEGO Universe","lego-universe","Video games","DK","2010","2012","Shut down","MMO game closed in 2012; not the LEGO company.","MMO; Online game","https://en.wikipedia.org/wiki/Lego_Universe","2025-10-12","20251012"
"Linens 'n Things","linens-n-things","Retail","US","1975","2008","Liquidation","Home goods retailer liquidated; brand used online later.","Home goods stores","https://en.wikipedia.org/wiki/Linens_%27n_Things","2025-10-12","20251012"
"Napster (original)","napster-original","Software/Internet","US","1999","2001","Shut down","Original P2P music service shut down after lawsuits; brand later reused.","P2P music sharing","https://en.wikipedia.org/wiki/Napster","2025-10-12","20251012"
"Netscape","netscape","Software/Internet","US","1994","2008","Discontinued","Browser pioneer; development ended, code continued as Mozilla.","Navigator; Communicator","https://en.wikipedia.org/wiki/Netscape","2025-10-12","20251012"
"Palm","palm","Mobile devices","US","1992","2011","Acquired/discontinued","Maker of PDAs/smartphones; acquired by HP; webOS devices discontinued.","Pilot; Treo; Pre","https://en.wikipedia.org/wiki/Palm,_Inc.","2025-10-12","20251012"
"Pan Am","pan-am","Airline","US","1927","1991","Bankruptcy","Iconic international airline ceased operations in 1991.","Clipper service; Pan Am logo","https://en.wikipedia.org/wiki/Pan_American_World_Airways","2025-10-12","20251012"
"Pebble","pebble","Wearables","US","2012","2016","Acquired/Discontinued","Smartwatch pioneer acquired by Fitbit; products discontinued.","Pebble; Pebble Time","https://en.wikipedia.org/wiki/Pebble_(watch)","2025-10-12","20251012"
"Pets.com","pets-com","E-commerce","US","1998","2000","Liquidation","Dot-com era pet supply e-tailer famous for sock puppet; failed in 2000.","Sock puppet; E-commerce","https://en.wikipedia.org/wiki/Pets.com","2025-10-12","20251012"
"Sears (Canada)","sears-canada","Retail","Canada","1952","2018","Liquidation","Canadian department store chain liquidated in 2018.","Department stores; Kenmore (licensed)","https://en.wikipedia.org/wiki/Sears_Canada","2025-10-12","20251012"
"Sega Dreamcast","sega-dreamcast","Video game consoles","JP","1998","2001","Discontinued","Sega's final console discontinued in 2001.","Dreamcast console; VMU","https://en.wikipedia.org/wiki/Dreamcast","2025-10-12","20251012"
"TWA","twa","Airline","US","1930","2001","Acquired","Trans World Airlines acquired by American Airlines in 2001.","Airline service; TWA Hotel legacy","https://en.wikipedia.org/wiki/Trans_World_Airlines","2025-10-12","20251012"
"Woolworth (US)","woolworth-us","Retail","US","1879","1997","Converted/closed","US five-and-dime chain closed; some international successors remain.","Five-and-dime stores; Foot Locker spinoff","https://en.wikipedia.org/wiki/F._W._Woolworth_Company","2025-10-12","20251012"
"Yahoo! Messenger","yahoo-messenger","Software/Internet","US","1998","2018","Discontinued","Once-popular IM service discontinued in 2018.","Instant messaging; Chat","https://en.wikipedia.org/wiki/Yahoo!_Messenger","2025-10-12","20251012"
"Zune","zune","Consumer electronics","US","2006","2012","Discontinued","Microsoft's digital media player brand discontinued in 2012.","Zune 30; Zune 80; Zune HD","https://en.wikipedia.org/wiki/Zune","2025-10-12","20251012"
